Model,Score Decile High to Low,Rows,High Vol Rows,Observed High Vol Rate,Score Min,Score Max,Score Mean
Rule[SPY realized volatility 20d],1,158,106,0.6708860759493671,0.2737142776926946,0.9392411023109352,0.42601783400100013
Rule[SPY realized volatility 20d],2,157,82,0.5222929936305732,0.21079157892099237,0.27353204116804397,0.23933822565689986
Rule[SPY realized volatility 20d],3,157,72,0.4585987261146497,0.18234169847411552,0.21058954255473672,0.1958491862289339
Rule[SPY realized volatility 20d],4,157,29,0.18471337579617833,0.156372729812597,0.18231230272595683,0.16756311033768062
Rule[SPY realized volatility 20d],5,157,14,0.08917197452229299,0.13944887397825848,0.15597534607918592,0.14686273782352163
Rule[SPY realized volatility 20d],6,157,20,0.12738853503184713,0.12487940451631094,0.13942454600125384,0.13281606673638385
Rule[SPY realized volatility 20d],7,157,6,0.03821656050955414,0.11219322440993346,0.12472520476419342,0.11812749959182098
Rule[SPY realized volatility 20d],8,157,17,0.10828025477707007,0.100507188119583,0.11218379816380755,0.10637371139948106
Rule[SPY realized volatility 20d],9,157,7,0.044585987261146494,0.08784064219989754,0.10037901839673631,0.09451883088992884
Rule[SPY realized volatility 20d],10,157,13,0.08280254777070063,0.05412810546155768,0.08782696410742966,0.07575552128731408
Rule[SPY Parkinson realized volatility 20d],1,158,124,0.7848101265822784,0.20656261403129583,0.5702381059255157,0.30256079241482414
Rule[SPY Parkinson realized volatility 20d],2,157,78,0.4968152866242038,0.17152730367568592,0.20656057095986052,0.18743729538201662
Rule[SPY Parkinson realized volatility 20d],3,157,49,0.31210191082802546,0.15022865255210788,0.17146177716360073,0.1604927101831263
Rule[SPY Parkinson realized volatility 20d],4,157,32,0.20382165605095542,0.13045461926530122,0.15017701760288096,0.13975067935469176
Rule[SPY Parkinson realized volatility 20d],5,157,21,0.1337579617834395,0.11705511024018496,0.1304436483181778,0.12371040668839299
Rule[SPY Parkinson realized volatility 20d],6,157,11,0.07006369426751592,0.10087155017881752,0.11702219026359577,0.10862256405232305
Rule[SPY Parkinson realized volatility 20d],7,157,17,0.10828025477707007,0.08946252447028595,0.10083749709859659,0.09481199836884746
Rule[SPY Parkinson realized volatility 20d],8,157,20,0.12738853503184713,0.08145194460245399,0.08940065555384367,0.0846780104791231
Rule[SPY Parkinson realized volatility 20d],9,157,7,0.044585987261146494,0.07406930347330855,0.08144431330344357,0.07793612367942557
Rule[SPY Parkinson realized volatility 20d],10,157,7,0.044585987261146494,0.05719871540371577,0.07401307251562426,0.06853967500862565
Rule[SPY Garman-Klass realized volatility 20d],1,158,132,0.8354430379746836,0.20320803587261774,0.6218281009505908,0.3048890616561984
Rule[SPY Garman-Klass realized volatility 20d],2,157,58,0.36942675159235666,0.17476319585355746,0.2031573207938205,0.18738270509258598
Rule[SPY Garman-Klass realized volatility 20d],3,157,50,0.3184713375796178,0.1492593097752659,0.17463006461871503,0.16096122692471956
Rule[SPY Garman-Klass realized volatility 20d],4,157,37,0.2356687898089172,0.13198790055181855,0.1488343646051567,0.13980004488441292
Rule[SPY Garman-Klass realized volatility 20d],5,157,24,0.15286624203821655,0.11642520945527357,0.1317854129320534,0.12444064134558508
Rule[SPY Garman-Klass realized volatility 20d],6,157,12,0.07643312101910828,0.09901179645863152,0.11642484002236181,0.10779040717507163
