ticker,first_valid_date,last_valid_date,missing_rate
SPY,2006-01-03,2026-05-11,0.0
QQQ,2006-01-03,2026-05-11,0.0
DIA,2006-01-03,2026-05-11,0.0
IWM,2006-01-03,2026-05-11,0.0
EFA,2006-01-03,2026-05-11,0.0
EEM,2006-01-03,2026-05-11,0.0
TLT,2006-01-03,2026-05-11,0.0
IEF,2006-01-03,2026-05-11,0.0
SHY,2006-01-03,2026-05-11,0.0
LQD,2006-01-03,2026-05-11,0.0
HYG,2007-04-11,2026-05-11,0.062109375
GLD,2006-01-03,2026-05-11,0.0
SLV,2006-04-28,2026-05-11,0.015625
DBC,2006-02-06,2026-05-11,0.0044921875
VNQ,2006-01-03,2026-05-11,0.0
IYR,2006-01-03,2026-05-11,0.0
XLB,2006-01-03,2026-05-11,0.0
XLE,2006-01-03,2026-05-11,0.0
XLF,2006-01-03,2026-05-11,0.0
XLI,2006-01-03,2026-05-11,0.0
XLK,2006-01-03,2026-05-11,0.0
XLP,2006-01-03,2026-05-11,0.0
XLU,2006-01-03,2026-05-11,0.0
XLV,2006-01-03,2026-05-11,0.0
XLY,2006-01-03,2026-05-11,0.0
