month,asset,weight,Strategy
2020-01,DBC,0.04,Equal weight universe
2020-02,DBC,0.04,Equal weight universe
2020-03,DBC,0.04,Equal weight universe
2020-04,DBC,0.04,Equal weight universe
2020-05,DBC,0.04,Equal weight universe
2020-06,DBC,0.04,Equal weight universe
2020-07,DBC,0.04,Equal weight universe
2020-08,DBC,0.04,Equal weight universe
2020-09,DBC,0.04,Equal weight universe
2020-10,DBC,0.04,Equal weight universe
2020-11,DBC,0.04,Equal weight universe
2020-12,DBC,0.04,Equal weight universe
2021-01,DBC,0.04,Equal weight universe
2021-02,DBC,0.04,Equal weight universe
2021-03,DBC,0.04,Equal weight universe
2021-04,DBC,0.04,Equal weight universe
2021-05,DBC,0.04,Equal weight universe
2021-06,DBC,0.04,Equal weight universe
2021-07,DBC,0.04,Equal weight universe
2021-08,DBC,0.04,Equal weight universe
2021-09,DBC,0.04,Equal weight universe
2021-10,DBC,0.04,Equal weight universe
2021-11,DBC,0.04,Equal weight universe
2021-12,DBC,0.04,Equal weight universe
2022-01,DBC,0.04,Equal weight universe
2022-02,DBC,0.04,Equal weight universe
2022-03,DBC,0.04,Equal weight universe
2022-04,DBC,0.04,Equal weight universe
2022-05,DBC,0.04,Equal weight universe
2022-06,DBC,0.04,Equal weight universe
2022-07,DBC,0.04,Equal weight universe
2022-08,DBC,0.04,Equal weight universe
2022-09,DBC,0.04,Equal weight universe
2022-10,DBC,0.04,Equal weight universe
2022-11,DBC,0.04,Equal weight universe
2022-12,DBC,0.04,Equal weight universe
2023-01,DBC,0.04,Equal weight universe
2023-02,DBC,0.04,Equal weight universe
2023-03,DBC,0.04,Equal weight universe
2023-04,DBC,0.04,Equal weight universe
2023-05,DBC,0.04,Equal weight universe
2023-06,DBC,0.04,Equal weight universe
2023-07,DBC,0.04,Equal weight universe
2023-08,DBC,0.04,Equal weight universe
2023-09,DBC,0.04,Equal weight universe
2023-10,DBC,0.04,Equal weight universe
2023-11,DBC,0.04,Equal weight universe
2023-12,DBC,0.04,Equal weight universe
2024-01,DBC,0.04,Equal weight universe
2024-02,DBC,0.04,Equal weight universe
2024-03,DBC,0.04,Equal weight universe
2024-04,DBC,0.04,Equal weight universe
2024-05,DBC,0.04,Equal weight universe
2024-06,DBC,0.04,Equal weight universe
2024-07,DBC,0.04,Equal weight universe
2024-08,DBC,0.04,Equal weight universe
2024-09,DBC,0.04,Equal weight universe
2024-10,DBC,0.04,Equal weight universe
2024-11,DBC,0.04,Equal weight universe
2024-12,DBC,0.04,Equal weight universe
2025-01,DBC,0.04,Equal weight universe
2025-02,DBC,0.04,Equal weight universe
2025-03,DBC,0.04,Equal weight universe
2025-04,DBC,0.04,Equal weight universe
2025-05,DBC,0.04,Equal weight universe
2025-06,DBC,0.04,Equal weight universe
2025-07,DBC,0.04,Equal weight universe
2025-08,DBC,0.04,Equal weight universe
2025-09,DBC,0.04,Equal weight universe
2025-10,DBC,0.04,Equal weight universe
2025-11,DBC,0.04,Equal weight universe
2025-12,DBC,0.04,Equal weight universe
2026-01,DBC,0.04,Equal weight universe
2026-02,DBC,0.04,Equal weight universe
2026-03,DBC,0.04,Equal weight universe
2020-01,DIA,0.04,Equal weight universe
2020-02,DIA,0.04,Equal weight universe
2020-03,DIA,0.04,Equal weight universe
2020-04,DIA,0.04,Equal weight universe
2020-05,DIA,0.04,Equal weight universe
2020-06,DIA,0.04,Equal weight universe
2020-07,DIA,0.04,Equal weight universe
2020-08,DIA,0.04,Equal weight universe
2020-09,DIA,0.04,Equal weight universe
2020-10,DIA,0.04,Equal weight universe
2020-11,DIA,0.04,Equal weight universe
2020-12,DIA,0.04,Equal weight universe
2021-01,DIA,0.04,Equal weight universe
2021-02,DIA,0.04,Equal weight universe
2021-03,DIA,0.04,Equal weight universe
