Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Source,Max Asset Weight Cap
75,0.1657567287373043,0.14850812751949474,1.1122289550548259,1.9744064151257148,-0.1283570425304983,0.01376458662401304,5.4719999999999995,5.0,0.0171,2.6079518447614274,12M momentum top-k portfolio,deterministic,
75,0.17297464965050247,0.16051946631378533,1.0816705108117746,1.2607518787803131,-0.17445156897122138,0.014469097760238803,7.648,5.0,0.023900000000000005,2.710528100097968,TabPFN[Direct allocation scorer] Calibration Base,model_score,
75,0.15805628614629819,0.14743412802688724,1.0748617584283535,1.3867338515296996,-0.1493449882187443,0.013205942175277586,9.097768934972137,5.0,0.028430527921787928,2.502133209812585,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.1472152330097043,0.15400554289940993,0.9719078383595993,1.6980171886137965,-0.15672428018845075,0.01247326619123017,9.632,5.0,0.0301,2.3592863577005505,Rule[Risk-adjusted momentum top-k],model_score,
75,0.12895377602396896,0.14031636504570125,0.9370492184371713,1.6373367753807635,-0.16238534682301942,0.010956945016668265,11.102953584618515,5.0,0.03469672995193286,2.1341552203067433,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.16539802635475054,0.18311875033930755,0.9338734871760689,1.1285100977214297,-0.20420655303460322,0.014250812162224425,8.597889999909055,5.0,0.026868406249715798,2.602940490061169,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.16218493703738024,0.18469250451861471,0.9131943766848045,1.0792668602964715,-0.21124395830698217,0.014055013045185983,6.944,5.0,0.0217,2.5584107092827626,TabPFN[Direct allocation scorer],model_score,
75,0.1533657518247975,0.17820439388279558,0.8941410176757134,1.2618629591257406,-0.23312890167018896,0.013278321508387212,0.16,1.0,0.0005,2.439462073408081,SPY only,deterministic,
75,0.11223414322898817,0.13666088166651186,0.8502573573769514,1.1347199162752504,-0.1675214361550228,0.009683076675214388,0.16,25.0,0.0005,1.9441348837155277,Equal weight universe,deterministic,
75,0.06452786613623407,0.0917138533581421,0.7293674240208247,0.9814622594560383,-0.14282745889254456,0.0055744247475709805,1.1787420634238985,25.0,0.003683568948199683,1.478194102602671,Inverse volatility universe,deterministic,
75,0.09995774613949449,0.14995622098266476,0.7121931646569473,1.1421793366894557,-0.13249629475599145,0.008899816298470045,7.392,5.0,0.0231,1.8138443450167812,Rule[6M momentum top-k],model_score,
75,0.11038982555808396,0.1785258256085745,0.6815466296771572,0.7702819906295554,-0.23175030964119792,0.010139472896154656,13.536000000000001,5.0,0.04230000000000001,1.924073732790532,XGBoost[GPU allocation scorer],model_score,
75,0.09771103521872404,0.16923507039509883,0.6406803037283425,0.7108663898019291,-0.2242229643553475,0.009035464691851612,14.671288925055224,5.0,0.045847777890797574,1.7908127943722383,XGBoost[GPU allocation scorer] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.07635355886164974,0.13439946279478313,0.6156377304271853,1.0514133425963241,-0.1675646388452965,0.006895115020467768,8.928342032869468,5.0,0.02790106885271709,1.5838660302212824,Rule[6M momentum top-k] | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.07161106895056091,0.12847146243775193,0.6033570303668003,0.9990032509364748,-0.24936995223827219,0.0064595133386101625,0.16,2.0,0.0005,1.5407509462630669,60/40 SPY/TLT,deterministic,
75,0.08363290426382708,0.1789529412192774,0.5438237462177347,0.5764202036548468,-0.24134235848456442,0.008109904907545791,11.68,5.0,0.0365,1.6520137162406905,XGBoost[GPU allocation scorer] Calibrated,model_score,
75,0.08363290426382708,0.1789529412192774,0.5438237462177347,0.5764202036548468,-0.24134235848456442,0.008109904907545791,11.68,5.0,0.0365,1.6520137162406905,XGBoost[GPU allocation scorer] Calibration Base,model_score,
75,0.027437133046347872,0.062775359689384,0.4625754289814383,0.7690080087559215,-0.11138413993117502,0.002419861578148408,1.952,5.0,0.0060999999999999995,1.1843235374121324,Low volatility top-k portfolio,deterministic,
75,0.06023853540187263,0.16615713104254132,0.4403833274427219,0.4539238105131908,-0.2375171942029971,0.006097735853904228,13.01653924283956,5.0,0.04067668513387364,1.4413598039183222,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
75,0.06023853540187263,0.16615713104254132,0.4403833274427219,0.4539238105131908,-0.2375171942029971,0.006097735853904228,13.01653924283956,5.0,0.04067668513387364,1.4413598039183222,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,model_score_inverse_vol_capped,0.35
